[XueTr][SSDT]: 284
序号		函数名称		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
80		NtFlushVirtualMemory		0x805A2C28		-		0x805A2C28		C:\WINDOWS\system32\ntkrnlpa.exe
81		NtFlushWriteBuffer		0x805ACF5A		-		0x805ACF5A		C:\WINDOWS\system32\ntkrnlpa.exe
82		NtFreeUserPhysicalPages		0x805ACACA		-		0x805ACACA		C:\WINDOWS\system32\ntkrnlpa.exe
83		NtFreeVirtualMemory		0x805A9570		-		0x805A9570		C:\WINDOWS\system32\ntkrnlpa.exe
84		NtFsControlFile		0x8056F586		-		0x8056F586		C:\WINDOWS\system32\ntkrnlpa.exe
85		NtGetContextThread		0x805C88AC		-		0x805C88AC		C:\WINDOWS\system32\ntkrnlpa.exe
86		NtGetDevicePowerState		0x805BF666		-		0x805BF666		C:\WINDOWS\system32\ntkrnlpa.exe
87		NtGetPlugPlayEvent		0x8058F69A		-		0x8058F69A		C:\WINDOWS\system32\ntkrnlpa.exe
88		NtGetWriteWatch		0x8051E9D2		-		0x8051E9D2		C:\WINDOWS\system32\ntkrnlpa.exe
89		NtImpersonateAnonymousToken		0x805F07D8		-		0x805F07D8		C:\WINDOWS\system32\ntkrnlpa.exe
90		NtImpersonateClientOfPort		0x8059B5EA		-		0x8059B5EA		C:\WINDOWS\system32\ntkrnlpa.exe
91		NtImpersonateThread		0x805CEC08		-		0x805CEC08		C:\WINDOWS\system32\ntkrnlpa.exe
92		NtInitializeRegistry		0x80619E5E		-		0x80619E5E		C:\WINDOWS\system32\ntkrnlpa.exe
93		NtInitiatePowerAction		0x805BF43E		-		0x805BF43E		C:\WINDOWS\system32\ntkrnlpa.exe
94		NtIsProcessInJob		0x805CC630		-		0x805CC630		C:\WINDOWS\system32\ntkrnlpa.exe
95		NtIsSystemResumeAutomatic		0x805BF652		-		0x805BF652		C:\WINDOWS\system32\ntkrnlpa.exe
96		NtListenPort		0x8059B7F6		-		0x8059B7F6		C:\WINDOWS\system32\ntkrnlpa.exe
97		NtLoadDriver		0x8057A69A		-		0x8057A69A		C:\WINDOWS\system32\ntkrnlpa.exe
98		NtLoadKey		0x8061DF40		-		0x8061DF40		C:\WINDOWS\system32\ntkrnlpa.exe
99		NtLoadKey2		0x8061DB4C		-		0x8061DB4C		C:\WINDOWS\system32\ntkrnlpa.exe
100		NtLockFile		0x8056F5BA		-		0x8056F5BA		C:\WINDOWS\system32\ntkrnlpa.exe
101		NtLockProductActivationKeys		0x8060B0C0		-		0x8060B0C0		C:\WINDOWS\system32\ntkrnlpa.exe
102		NtLockRegistryKey		0x8061BBEC		-		0x8061BBEC		C:\WINDOWS\system32\ntkrnlpa.exe
103		NtLockVirtualMemory		0x805AD0C0		-		0x805AD0C0		C:\WINDOWS\system32\ntkrnlpa.exe
104		NtMakePermanentObject		0x805B626E		-		0x805B626E		C:\WINDOWS\system32\ntkrnlpa.exe
105		NtMakeTemporaryObject		0x805B2E5E		-		0x805B2E5E		C:\WINDOWS\system32\ntkrnlpa.exe
106		NtMapUserPhysicalPages		0x805ABA22		-		0x805ABA22		C:\WINDOWS\system32\ntkrnlpa.exe
107		NtMapUserPhysicalPagesScatter		0x805ABFFA		-		0x805ABFFA		C:\WINDOWS\system32\ntkrnlpa.exe
108		NtMapViewOfSection		0x805A85F0		-		0x805A85F0		C:\WINDOWS\system32\ntkrnlpa.exe
109		NtModifyBootEntry		0x805BF644		-		0x805BF644		C:\WINDOWS\system32\ntkrnlpa.exe
110		NtNotifyChangeDirectoryFile		0x805701EA		-		0x805701EA		C:\WINDOWS\system32\ntkrnlpa.exe
111		NtNotifyChangeKey		0x8061DF0A		-		0x8061DF0A		C:\WINDOWS\system32\ntkrnlpa.exe
112		NtNotifyChangeMultipleKeys		0x8061CB3E		-		0x8061CB3E		C:\WINDOWS\system32\ntkrnlpa.exe
113		NtOpenDirectoryObject		0x805B4EC0		-		0x805B4EC0		C:\WINDOWS\system32\ntkrnlpa.exe
114		NtOpenEvent		0x80606CB4		-		0x80606CB4		C:\WINDOWS\system32\ntkrnlpa.exe
115		NtOpenEventPair		0x8060EF20		-		0x8060EF20		C:\WINDOWS\system32\ntkrnlpa.exe
116		NtOpenFile		0x805704AA		-		0x805704AA		C:\WINDOWS\system32\ntkrnlpa.exe
117		NtOpenIoCompletion		0x8056EE42		-		0x8056EE42		C:\WINDOWS\system32\ntkrnlpa.exe
118		NtOpenJobObject		0x805CCBBA		-		0x805CCBBA		C:\WINDOWS\system32\ntkrnlpa.exe
119		NtOpenKey		0x8061D0FA		-		0x8061D0FA		C:\WINDOWS\system32\ntkrnlpa.exe
120		NtOpenMutant		0x8060F318		-		0x8060F318		C:\WINDOWS\system32\ntkrnlpa.exe
121		NtOpenObjectAuditAlarm		0x805EC19E		-		0x805EC19E		C:\WINDOWS\system32\ntkrnlpa.exe
122		NtOpenProcess		0x805C2428		-		0x805C2428		C:\WINDOWS\system32\ntkrnlpa.exe
123		NtOpenProcessToken		0x805E5496		-		0x805E5496		C:\WINDOWS\system32\ntkrnlpa.exe
124		NtOpenProcessTokenEx		0x805E50FA		-		0x805E50FA		C:\WINDOWS\system32\ntkrnlpa.exe
125		NtOpenSection		0x805A0878		-		0x805A0878		C:\WINDOWS\system32\ntkrnlpa.exe
126		NtOpenSemaphore		0x8060CCE4		-		0x8060CCE4		C:\WINDOWS\system32\ntkrnlpa.exe
127		NtOpenSymbolicLinkObject		0x805BA8FA		-		0x805BA8FA		C:\WINDOWS\system32\ntkrnlpa.exe
128		NtOpenThread		0x805C26B4		-		0x805C26B4		C:\WINDOWS\system32\ntkrnlpa.exe
129		NtOpenThreadToken		0x805E54B4		-		0x805E54B4		C:\WINDOWS\system32\ntkrnlpa.exe
130		NtOpenThreadTokenEx		0x805E526A		-		0x805E526A		C:\WINDOWS\system32\ntkrnlpa.exe
131		NtOpenTimer		0x8060EC32		-		0x8060EC32		C:\WINDOWS\system32\ntkrnlpa.exe
132		NtPlugPlayControl		0x8063D980		-		0x8063D980		C:\WINDOWS\system32\ntkrnlpa.exe
133		NtPowerInformation		0x805C04D4		-		0x805C04D4		C:\WINDOWS\system32\ntkrnlpa.exe
134		NtPrivilegeCheck		0x805EF88A		-		0x805EF88A		C:\WINDOWS\system32\ntkrnlpa.exe
135		NtPrivilegeObjectAuditAlarm		0x805EB4B0		-		0x805EB4B0		C:\WINDOWS\system32\ntkrnlpa.exe
136		NtPrivilegedServiceAuditAlarm		0x805EB69C		-		0x805EB69C		C:\WINDOWS\system32\ntkrnlpa.exe
137		NtProtectVirtualMemory		0x805AEB88		-		0x805AEB88		C:\WINDOWS\system32\ntkrnlpa.exe
138		NtPulseEvent		0x80606D6C		-		0x80606D6C		C:\WINDOWS\system32\ntkrnlpa.exe
139		NtQueryAttributesFile		0x8056D1DE		-		0x8056D1DE		C:\WINDOWS\system32\ntkrnlpa.exe
140		NtQueryBootEntryOrder		0x8060E5D2		-		0x8060E5D2		C:\WINDOWS\system32\ntkrnlpa.exe
141		NtQueryBootOptions		0x8060E5D2		-		0x8060E5D2		C:\WINDOWS\system32\ntkrnlpa.exe
142		NtQueryDebugFilterState		0x8053D0CE		-		0x8053D0CE		C:\WINDOWS\system32\ntkrnlpa.exe
143		NtQueryDefaultLocale		0x806088F8		-		0x806088F8		C:\WINDOWS\system32\ntkrnlpa.exe
144		NtQueryDefaultUILanguage		0x80609558		-		0x80609558		C:\WINDOWS\system32\ntkrnlpa.exe
145		NtQueryDirectoryFile		0x80570184		-		0x80570184		C:\WINDOWS\system32\ntkrnlpa.exe
146		NtQueryDirectoryObject		0x805B4F60		-		0x805B4F60		C:\WINDOWS\system32\ntkrnlpa.exe
147		NtQueryEaFile		0x805704DA		-		0x805704DA		C:\WINDOWS\system32\ntkrnlpa.exe
148		NtQueryEvent		0x80606E34		-		0x80606E34		C:\WINDOWS\system32\ntkrnlpa.exe
149		NtQueryFullAttributesFile		0x8056D332		-		0x8056D332		C:\WINDOWS\system32\ntkrnlpa.exe
150		NtQueryInformationAtom		0x8060DD6C		-		0x8060DD6C		C:\WINDOWS\system32\ntkrnlpa.exe
151		NtQueryInformationFile		0x80570D56		-		0x80570D56		C:\WINDOWS\system32\ntkrnlpa.exe
152		NtQueryInformationJobObject		0x805CD08C		-		0x805CD08C		C:\WINDOWS\system32\ntkrnlpa.exe
153		NtQueryInformationPort		0x8059B854		-		0x8059B854		C:\WINDOWS\system32\ntkrnlpa.exe
154		NtQueryInformationProcess		0x805C3D8E		-		0x805C3D8E		C:\WINDOWS\system32\ntkrnlpa.exe
155		NtQueryInformationThread		0x805C295A		-		0x805C295A		C:\WINDOWS\system32\ntkrnlpa.exe
156		NtQueryInformationToken		0x805E5594		-		0x805E5594		C:\WINDOWS\system32\ntkrnlpa.exe
157		NtQueryInstallUILanguage		0x80608CF6		-		0x80608CF6		C:\WINDOWS\system32\ntkrnlpa.exe
158		NtQueryIntervalProfile		0x8060FAE2		-		0x8060FAE2		C:\WINDOWS\system32\ntkrnlpa.exe
159		NtQueryIoCompletion		0x8056EEEA		-		0x8056EEEA		C:\WINDOWS\system32\ntkrnlpa.exe
160		NtQueryKey		0x8061D43C		-		0x8061D43C		C:\WINDOWS\system32\ntkrnlpa.exe
161		NtQueryMultipleValueKey		0x8061AE6A		-		0x8061AE6A		C:\WINDOWS\system32\ntkrnlpa.exe
162		NtQueryMutant		0x8060F3C0		-		0x8060F3C0		C:\WINDOWS\system32\ntkrnlpa.exe
163		NtQueryObject		0x805BC1CC		-		0x805BC1CC		C:\WINDOWS\system32\ntkrnlpa.exe
164		NtQueryOpenSubKeys		0x8061B516		-		0x8061B516		C:\WINDOWS\system32\ntkrnlpa.exe
165		NtQueryPerformanceCounter		0x8060FB70		-		0x8060FB70		C:\WINDOWS\system32\ntkrnlpa.exe
166		NtQueryQuotaInformationFile		0x80571C02		-		0x80571C02		C:\WINDOWS\system32\ntkrnlpa.exe
167		NtQuerySection		0x805AED4A		-		0x805AED4A		C:\WINDOWS\system32\ntkrnlpa.exe
168		NtQuerySecurityObject		0x805B6B96		-		0x805B6B96		C:\WINDOWS\system32\ntkrnlpa.exe
169		NtQuerySemaphore		0x8060CD9C		-		0x8060CD9C		C:\WINDOWS\system32\ntkrnlpa.exe
170		NtQuerySymbolicLinkObject		0x805BA99A		-		0x805BA99A		C:\WINDOWS\system32\ntkrnlpa.exe
171		NtQuerySystemEnvironmentValue		0x8060E5EE		-		0x8060E5EE		C:\WINDOWS\system32\ntkrnlpa.exe
172		NtQuerySystemEnvironmentValueEx		0x8060E5B6		-		0x8060E5B6		C:\WINDOWS\system32\ntkrnlpa.exe
173		NtQuerySystemInformation		0x806095D8		-		0x806095D8		C:\WINDOWS\system32\ntkrnlpa.exe
174		NtQuerySystemTime		0x8060B474		-		0x8060B474		C:\WINDOWS\system32\ntkrnlpa.exe
175		NtQueryTimer		0x8060ECEA		-		0x8060ECEA		C:\WINDOWS\system32\ntkrnlpa.exe
176		NtQueryTimerResolution		0x8060AD2C		-		0x8060AD2C		C:\WINDOWS\system32\ntkrnlpa.exe
177		NtQueryValueKey		0x80619F40		-		0x80619F40		C:\WINDOWS\system32\ntkrnlpa.exe
178		NtQueryVirtualMemory		0x805AF3D0		-		0x805AF3D0		C:\WINDOWS\system32\ntkrnlpa.exe
179		NtQueryVolumeInformationFile		0x805720F2		-		0x805720F2		C:\WINDOWS\system32\ntkrnlpa.exe
180		NtQueueApcThread		0x805C85F8		-		0x805C85F8		C:\WINDOWS\system32\ntkrnlpa.exe
181		NtRaiseException		0x80541F00		-		0x80541F00		C:\WINDOWS\system32\ntkrnlpa.exe
182		NtRaiseHardError		0x8060CA0E		-		0x8060CA0E		C:\WINDOWS\system32\ntkrnlpa.exe
183		NtReadFile		0x805728BA		-		0x805728BA		C:\WINDOWS\system32\ntkrnlpa.exe
184		NtReadFileScatter		0x80572E48		-		0x80572E48		C:\WINDOWS\system32\ntkrnlpa.exe
185		NtReadRequestData		0x8059C2DC		-		0x8059C2DC		C:\WINDOWS\system32\ntkrnlpa.exe
186		NtReadVirtualMemory		0x805AA886		-		0x805AA886		C:\WINDOWS\system32\ntkrnlpa.exe
187		NtRegisterThreadTerminatePort		0x805C9B8C		-		0x805C9B8C		C:\WINDOWS\system32\ntkrnlpa.exe
188		NtReleaseMutant		0x8060F4F8		-		0x8060F4F8		C:\WINDOWS\system32\ntkrnlpa.exe
189		NtReleaseSemaphore		0x8060CECC		-		0x8060CECC		C:\WINDOWS\system32\ntkrnlpa.exe
190		NtRemoveIoCompletion		0x8056F1E2		-		0x8056F1E2		C:\WINDOWS\system32\ntkrnlpa.exe
191		NtRemoveProcessDebug		0x8063B85E		-		0x8063B85E		C:\WINDOWS\system32\ntkrnlpa.exe
192		NtRenameKey		0x8061B73E		-		0x8061B73E		C:\WINDOWS\system32\ntkrnlpa.exe
193		NtReplaceKey		0x8061DDF0		-		0x8061DDF0		C:\WINDOWS\system32\ntkrnlpa.exe
194		NtReplyPort		0x8059B95C		-		0x8059B95C		C:\WINDOWS\system32\ntkrnlpa.exe
195		NtReplyWaitReceivePort		0x8059C924		-		0x8059C924		C:\WINDOWS\system32\ntkrnlpa.exe
196		NtReplyWaitReceivePortEx		0x8059C32C		-		0x8059C32C		C:\WINDOWS\system32\ntkrnlpa.exe
197		NtReplyWaitReplyPort		0x8059BC46		-		0x8059BC46		C:\WINDOWS\system32\ntkrnlpa.exe
198		NtRequestDeviceWakeup		0x805BF5D6		-		0x805BF5D6		C:\WINDOWS\system32\ntkrnlpa.exe
199		NtRequestPort		0x80598EBA		-		0x80598EBA		C:\WINDOWS\system32\ntkrnlpa.exe
200		NtRequestWaitReplyPort		0x805991E6		-		0x805991E6		C:\WINDOWS\system32\ntkrnlpa.exe
201		NtRequestWakeupLatency		0x805BF3E4		-		0x805BF3E4		C:\WINDOWS\system32\ntkrnlpa.exe
202		NtResetEvent		0x80606F46		-		0x80606F46		C:\WINDOWS\system32\ntkrnlpa.exe
203		NtResetWriteWatch		0x8051EEB2		-		0x8051EEB2		C:\WINDOWS\system32\ntkrnlpa.exe
204		NtRestoreKey		0x8061D6FC		-		0x8061D6FC		C:\WINDOWS\system32\ntkrnlpa.exe
205		NtResumeProcess		0x805CBEEC		-		0x805CBEEC		C:\WINDOWS\system32\ntkrnlpa.exe
206		NtResumeThread		0x805CBDCE		-		0x805CBDCE		C:\WINDOWS\system32\ntkrnlpa.exe
207		NtSaveKey		0x8061D7F8		-		0x8061D7F8		C:\WINDOWS\system32\ntkrnlpa.exe
208		NtSaveKeyEx		0x8061D8DE		-		0x8061D8DE		C:\WINDOWS\system32\ntkrnlpa.exe
209		NtSaveMergedKeys		0x8061DA06		-		0x8061DA06		C:\WINDOWS\system32\ntkrnlpa.exe
210		NtSecureConnectPort		0x8059A1D4		-		0x8059A1D4		C:\WINDOWS\system32\ntkrnlpa.exe
211		NtSetBootEntryOrder		0x8060E5D2		-		0x8060E5D2		C:\WINDOWS\system32\ntkrnlpa.exe
212		NtSetBootOptions		0x8060E5D2		-		0x8060E5D2		C:\WINDOWS\system32\ntkrnlpa.exe
213		NtSetContextThread		0x805C8ABC		-		0x805C8ABC		C:\WINDOWS\system32\ntkrnlpa.exe
214		NtSetDebugFilterState		0x8063E516		-		0x8063E516		C:\WINDOWS\system32\ntkrnlpa.exe
215		NtSetDefaultHardErrorPort		0x8060C8B8		-		0x8060C8B8		C:\WINDOWS\system32\ntkrnlpa.exe
216		NtSetDefaultLocale		0x80608A48		-		0x80608A48		C:\WINDOWS\system32\ntkrnlpa.exe
217		NtSetDefaultUILanguage		0x806092BA		-		0x806092BA		C:\WINDOWS\system32\ntkrnlpa.exe
218		NtSetEaFile		0x805709F6		-		0x805709F6		C:\WINDOWS\system32\ntkrnlpa.exe
219		NtSetEvent		0x80607006		-		0x80607006		C:\WINDOWS\system32\ntkrnlpa.exe
220		NtSetEventBoostPriority		0x806070D0		-		0x806070D0		C:\WINDOWS\system32\ntkrnlpa.exe
221		NtSetHighEventPair		0x8060F1DC		-		0x8060F1DC		C:\WINDOWS\system32\ntkrnlpa.exe
222		NtSetHighWaitLowEventPair		0x8060F10C		-		0x8060F10C		C:\WINDOWS\system32\ntkrnlpa.exe
223		NtSetInformationDebugObject		0x8063B228		-		0x8063B228		C:\WINDOWS\system32\ntkrnlpa.exe
224		NtSetInformationFile		0x80571394		-		0x80571394		C:\WINDOWS\system32\ntkrnlpa.exe
225		NtSetInformationJobObject		0x805CDD9C		-		0x805CDD9C		C:\WINDOWS\system32\ntkrnlpa.exe
226		NtSetInformationKey		0x8061AA36		-		0x8061AA36		C:\WINDOWS\system32\ntkrnlpa.exe
227		NtSetInformationObject		0x805BB610		-		0x805BB610		C:\WINDOWS\system32\ntkrnlpa.exe
228		NtSetInformationProcess		0x805C4EE6		-		0x805C4EE6		C:\WINDOWS\system32\ntkrnlpa.exe
229		NtSetInformationThread		0x805C2EA6		-		0x805C2EA6		C:\WINDOWS\system32\ntkrnlpa.exe
230		NtSetInformationToken		0x805F1C06		-		0x805F1C06		C:\WINDOWS\system32\ntkrnlpa.exe
231		NtSetIntervalProfile		0x8060F644		-		0x8060F644		C:\WINDOWS\system32\ntkrnlpa.exe
232		NtSetIoCompletion		0x8056F180		-		0x8056F180		C:\WINDOWS\system32\ntkrnlpa.exe
233		NtSetLdtEntries		0x805CAD18		-		0x805CAD18		C:\WINDOWS\system32\ntkrnlpa.exe
234		NtSetLowEventPair		0x8060F178		-		0x8060F178		C:\WINDOWS\system32\ntkrnlpa.exe
235		NtSetLowWaitHighEventPair		0x8060F0A0		-		0x8060F0A0		C:\WINDOWS\system32\ntkrnlpa.exe
236		NtSetQuotaInformationFile		0x80571BE0		-		0x80571BE0		C:\WINDOWS\system32\ntkrnlpa.exe
237		NtSetSecurityObject		0x805B7140		-		0x805B7140		C:\WINDOWS\system32\ntkrnlpa.exe
238		NtSetSystemEnvironmentValue		0x8060E872		-		0x8060E872		C:\WINDOWS\system32\ntkrnlpa.exe
239		NtSetSystemEnvironmentValueEx		0x8060E5B6		-		0x8060E5B6		C:\WINDOWS\system32\ntkrnlpa.exe
240		NtSetSystemInformation		0x80607906		-		0x80607906		C:\WINDOWS\system32\ntkrnlpa.exe
241		NtSetSystemPowerState		0x8064AAD6		-		0x8064AAD6		C:\WINDOWS\system32\ntkrnlpa.exe
242		NtSetSystemTime		0x8060C034		-		0x8060C034		C:\WINDOWS\system32\ntkrnlpa.exe
243		NtSetThreadExecutionState		0x805BF2F8		-		0x805BF2F8		C:\WINDOWS\system32\ntkrnlpa.exe
